time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0,4,140,49,0.7959711111111111,,,,,
0,8,169,85,0.7930111111111111,4.0,310.0,,,
0,12,182,117,0.79038,3.0,288.0,,,
0,16,182,137,0.7887355555555555,2.0,249.0,,,
0,20,189,166,0.7863511111111113,1.75,240.25,,,
1,24,199,200,0.7835555555555554,1.75,240.25,,,
1,28,206,238,0.7804311111111111,1.8,234.2,,,
1,32,205,256,0.7789511111111113,1.8333333333333333,233.83333333333334,,,
1,36,207,287,0.7764022222222224,1.7142857142857142,230.42857142857142,,,
1,40,210,316,0.7740177777777779,1.625,228.625,,,
1,44,209,334,0.7725377777777779,1.625,228.625,,,
1,48,208,354,0.7708933333333333,1.4444444444444444,220.11111111111111,,,
1,52,208,381,0.7686733333333333,1.4,218.3,,,
1,56,210,419,0.7655488888888888,1.4545454545454546,220.1818181818182,,,
2,60,214,456,0.7625066666666668,1.5,222.16666666666666,,,
2,64,214,476,0.7608622222222222,1.5,222.16666666666666,,,
2,68,220,536,0.7559288888888889,1.3846153846153846,217.46153846153845,,,
2,72,219,556,0.7542844444444445,1.5714285714285714,225.07142857142858,,,
2,76,217,587,0.7517355555555557,1.5333333333333334,224.66666666666666,,,
2,80,218,625,0.7486111111111111,1.5625,226.0,,,
2,84,221,663,0.7454866666666666,1.5625,226.0,,,
3,88,219,683,0.7438422222222222,1.588235294117647,226.0,,,
3,92,221,721,0.7407177777777778,1.5,222.83333333333334,,,
3,96,225,785,0.7354555555555555,1.736842105263158,232.47368421052633,,,
3,100,227,823,0.7323311111111113,1.75,232.7,,,
3,104,230,875,0.7280555555555556,1.75,232.7,,,
3,108,228,893,0.7265755555555555,1.8571428571428572,235.66666666666666,,,
4,112,230,940,0.7227111111111112,1.8181818181818181,234.77272727272728,,,
4,116,228,958,0.721231111111111,1.826086956521739,234.69565217391303,,,
4,120,229,992,0.7184355555555555,1.8333333333333333,234.625,,,
4,124,229,1012,0.7167911111111113,1.8333333333333333,234.625,,,
4,128,229,1043,0.7142422222222224,1.76,231.44,,,
4,132,230,1073,0.7117755555555555,1.7692307692307692,232.30769230769232,,,
4,136,230,1104,0.7092266666666669,1.7407407407407407,231.25925925925927,,,
4,140,232,1154,0.7051155555555556,1.7857142857142858,232.82142857142858,,,
5,144,233,1192,0.7019911111111112,1.7857142857142858,232.82142857142858,,,
