rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/fps,train/learning_rate,train/n_updates,train/loss
23.0,4,23.0,0.9825200000000005,92,0,22208,,,
25.375,8,25.375,0.9614300000000005,203,0,844,0.002,102,0.0007492895238101482
26.083333333333332,12,26.083333333333332,0.9405299999999996,313,0,630,0.002,212,0.00010171849862672389
25.8125,16,25.8125,0.9215299999999995,413,0,558,0.002,312,5.580242941505276e-05
25.15,20,25.15,0.9044300000000004,503,1,481,0.002,402,0.30606669187545776
24.833333333333332,24,24.833333333333332,0.8867599999999997,596,1,439,0.002,495,0.0037542907521128654
26.071428571428573,28,26.071428571428573,0.8613000000000005,730,1,423,0.002,629,0.012890717945992947
25.5625,32,25.5625,0.8445799999999997,818,1,421,0.002,717,0.017823874950408936
25.916666666666668,36,25.916666666666668,0.82273,933,2,416,0.002,832,0.017643151804804802
24.8,40,24.8,0.8115200000000004,992,2,414,0.002,891,0.0016051732236519456
24.295454545454547,44,24.295454545454547,0.7968900000000004,1069,2,412,0.002,968,0.0686914324760437
23.770833333333332,48,23.770833333333332,0.7832100000000005,1141,2,411,0.002,1040,0.019044164568185806
23.365384615384617,52,23.365384615384617,0.7691500000000001,1215,2,410,0.002,1114,0.003368983045220375
23.0,56,23.0,0.75528,1288,3,408,0.002,1187,0.010950444266200066
23.05,60,23.05,0.7372299999999998,1383,3,410,0.002,1282,0.005738033913075924
22.65625,64,22.65625,0.7244999999999998,1450,3,410,0.002,1349,0.01358071994036436
22.573529411764707,68,22.573529411764707,0.7083500000000005,1535,3,411,0.002,1434,0.07299282401800156
22.72222222222222,72,22.72222222222222,0.6891600000000002,1636,3,411,0.002,1535,0.009967603720724583
23.394736842105264,76,23.394736842105264,0.6621799999999997,1778,4,409,0.002,1677,0.03506968170404434
23.125,80,23.125,0.6484999999999997,1850,4,407,0.002,1749,0.008301261812448502
22.738095238095237,84,22.738095238095237,0.6371,1910,4,406,0.002,1809,0.003965361043810844
