rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/learning_rate,train/loss
23.0,23.0,11388,0,92,0.9668800000000008,4,,,
24.75,24.75,727,0,198,0.9287200000000007,8,97,0.0002,0.20705249905586243
26.666666666666668,26.666666666666668,504,0,320,0.8848000000000007,12,219,0.0002,0.011472182348370552
26.125,26.125,464,0,418,0.8495199999999994,16,317,0.0002,0.0025448782835155725
24.25,24.25,433,1,485,0.8253999999999992,20,384,0.0002,0.002031672280281782
25.041666666666668,25.041666666666668,413,1,601,0.7836399999999994,24,500,0.0002,0.02414686791598797
25.0,25.0,408,1,700,0.7479999999999998,28,599,0.0002,0.02130524069070816
24.1875,24.1875,403,1,774,0.7213599999999991,32,673,0.0002,0.021770523861050606
23.944444444444443,23.944444444444443,398,2,862,0.6896799999999994,36,761,0.0002,0.023538019508123398
23.725,23.725,386,2,949,0.6583600000000001,40,848,0.0002,0.01956213265657425
23.363636363636363,23.363636363636363,383,2,1028,0.6299199999999996,44,927,0.0002,0.0880383849143982
23.333333333333332,23.333333333333332,377,2,1120,0.5968000000000004,48,1019,0.0002,0.054558005183935165
23.576923076923077,23.576923076923077,366,3,1226,0.5586400000000002,52,1125,0.0002,0.040699515491724014
23.5,23.5,364,3,1316,0.5262399999999998,56,1215,0.0002,0.01727934181690216
23.8,23.8,364,3,1428,0.48591999999999946,60,1327,0.0002,0.05636123940348625
23.796875,23.796875,365,4,1523,0.45171999999999923,64,1422,0.0002,0.11992210149765015
24.352941176470587,24.352941176470587,353,4,1656,0.4038399999999993,68,1555,0.0002,0.04881677404046059
24.666666666666668,24.666666666666668,347,5,1776,0.36064000000000007,72,1675,0.0002,0.15168510377407074
25.06578947368421,25.06578947368421,347,5,1905,0.3141999999999996,76,1804,0.0002,0.07448279112577438
25.225,25.225,349,5,2018,0.2735200000000009,80,1917,0.0002,0.15526528656482697
26.535714285714285,26.535714285714285,349,6,2229,0.19756000000000096,84,2128,0.0002,0.14472533762454987
31.806818181818183,31.806818181818183,349,8,2799,0.1,88,2698,0.0002,0.10439804941415787
39.141304347826086,39.141304347826086,339,10,3601,0.1,92,3500,0.0002,0.07156529277563095
44.9375,44.9375,330,13,4314,0.1,96,4213,0.0002,0.050802916288375854
51.01,51.01,334,15,5101,0.1,100,5000,0.0002,0.04426516965031624
57.27,57.27,332,17,5819,0.1,104,5718,0.0002,0.11920499056577682
64.39,64.39,334,19,6637,0.1,108,6536,0.0002,0.006819486618041992
70.22,70.22,333,22,7342,0.1,112,7241,0.0002,0.0945151150226593
75.97,75.97,331,24,8015,0.1,116,7914,0.0002,0.3474108576774597
82.96,82.96,333,26,8781,0.1,120,8680,0.0002,0.16613270342350006
88.39,88.39,332,28,9440,0.1,124,9339,0.0002,0.1701401174068451
92.88,92.88,333,29,9988,0.1,128,9887,0.0002,0.23373712599277496
98.42,98.42,333,31,10616,0.1,132,10515,0.0002,0.13133706152439117
102.52,102.52,334,33,11114,0.1,136,11013,0.0002,0.2362673431634903
106.81,106.81,333,34,11630,0.1,140,11529,0.0002,0.13322733342647552
110.77,110.77,333,36,12105,0.1,144,12004,0.0002,0.26913875341415405
114.79,114.79,334,37,12599,0.1,148,12498,0.0002,0.0019954440649598837
118.88,118.88,333,39,13114,0.1,152,13013,0.0002,0.002566023264080286
123.44,123.44,332,41,13660,0.1,156,13559,0.0002,0.004386472050100565
127.95,127.95,333,42,14223,0.1,160,14122,0.0002,0.15677210688591003
134.51,134.51,334,44,14974,0.1,164,14873,0.0002,0.0025601722300052643
139.92,139.92,333,46,15648,0.1,168,15547,0.0002,0.0012977335136383772
145.49,145.49,334,48,16325,0.1,172,16224,0.0002,0.14959338307380676
150.23,150.23,334,50,16928,0.1,176,16827,0.0002,0.24068227410316467
156.41,156.41,333,52,17659,0.1,180,17558,0.0002,0.1567230373620987
