episode_reward,episode_length
30.0,30
20.0,20
20.0,20
22.0,22
33.0,33
13.0,13
13.0,13
39.0,39
23.0,23
24.0,24
22.0,22
13.0,13
24.0,24
15.0,15
45.0,45
39.0,39
17.0,17
23.0,23
28.0,28
12.0,12
17.0,17
17.0,17
54.0,54
26.0,26
16.0,16
20.0,20
26.0,26
15.0,15
12.0,12
16.0,16
38.0,38
12.0,12
18.0,18
17.0,17
30.0,30
14.0,14
52.0,52
12.0,12
31.0,31
20.0,20
16.0,16
29.0,29
27.0,27
26.0,26
17.0,17
16.0,16
38.0,38
17.0,17
15.0,15
27.0,27
31.0,31
23.0,23
14.0,14
14.0,14
14.0,14
15.0,15
39.0,39
17.0,17
17.0,17
12.0,12
13.0,13
17.0,17
32.0,32
39.0,39
32.0,32
27.0,27
35.0,35
12.0,12
36.0,36
64.0,64
23.0,23
14.0,14
12.0,12
25.0,25
12.0,12
14.0,14
75.0,75
57.0,57
21.0,21
18.0,18
19.0,19
16.0,16
33.0,33
15.0,15
11.0,11
13.0,13
12.0,12
24.0,24
18.0,18
26.0,26
17.0,17
98.0,98
16.0,16
11.0,11
17.0,17
11.0,11
28.0,28
16.0,16
32.0,32
23.0,23
40.0,40
36.0,36
16.0,16
14.0,14
55.0,55
9.0,9
59.0,59
31.0,31
20.0,20
28.0,28
59.0,59
13.0,13
14.0,14
64.0,64
34.0,34
20.0,20
89.0,89
49.0,49
30.0,30
33.0,33
31.0,31
117.0,117
29.0,29
14.0,14
31.0,31
44.0,44
20.0,20
13.0,13
37.0,37
62.0,62
21.0,21
27.0,27
42.0,42
14.0,14
34.0,34
36.0,36
24.0,24
11.0,11
56.0,56
46.0,46
57.0,57
39.0,39
28.0,28
16.0,16
27.0,27
19.0,19
12.0,12
24.0,24
41.0,41
29.0,29
14.0,14
162.0,162
18.0,18
22.0,22
18.0,18
24.0,24
24.0,24
189.0,189
53.0,53
135.0,135
60.0,60
76.0,76
13.0,13
20.0,20
32.0,32
24.0,24
76.0,76
26.0,26
23.0,23
26.0,26
19.0,19
45.0,45
39.0,39
36.0,36
58.0,58
28.0,28
14.0,14
37.0,37
27.0,27
49.0,49
34.0,34
49.0,49
14.0,14
99.0,99
44.0,44
53.0,53
78.0,78
14.0,14
48.0,48
