episode_reward,episode_length
30.0,30
20.0,20
20.0,20
22.0,22
26.0,26
34.0,34
37.0,37
14.0,14
49.0,49
13.0,13
31.0,31
17.0,17
36.0,36
15.0,15
37.0,37
12.0,12
22.0,22
13.0,13
30.0,30
25.0,25
12.0,12
52.0,52
15.0,15
14.0,14
20.0,20
34.0,34
42.0,42
38.0,38
14.0,14
11.0,11
51.0,51
12.0,12
27.0,27
23.0,23
11.0,11
54.0,54
15.0,15
22.0,22
9.0,9
13.0,13
37.0,37
11.0,11
16.0,16
13.0,13
14.0,14
20.0,20
10.0,10
28.0,28
13.0,13
25.0,25
11.0,11
25.0,25
16.0,16
37.0,37
9.0,9
11.0,11
28.0,28
21.0,21
19.0,19
27.0,27
19.0,19
14.0,14
13.0,13
21.0,21
15.0,15
38.0,38
18.0,18
14.0,14
17.0,17
11.0,11
58.0,58
15.0,15
13.0,13
94.0,94
22.0,22
13.0,13
28.0,28
11.0,11
15.0,15
18.0,18
17.0,17
12.0,12
16.0,16
15.0,15
56.0,56
67.0,67
63.0,63
62.0,62
46.0,46
87.0,87
13.0,13
37.0,37
78.0,78
21.0,21
21.0,21
27.0,27
20.0,20
35.0,35
24.0,24
14.0,14
94.0,94
94.0,94
38.0,38
54.0,54
128.0,128
124.0,124
84.0,84
126.0,126
107.0,107
108.0,108
68.0,68
117.0,117
133.0,133
121.0,121
102.0,102
118.0,118
13.0,13
159.0,159
146.0,146
120.0,120
148.0,148
166.0,166
141.0,141
164.0,164
199.0,199
180.0,180
191.0,191
223.0,223
21.0,21
134.0,134
120.0,120
109.0,109
126.0,126
104.0,104
105.0,105
107.0,107
87.0,87
110.0,110
93.0,93
94.0,94
90.0,90
99.0,99
86.0,86
78.0,78
68.0,68
82.0,82
82.0,82
21.0,21
79.0,79
96.0,96
79.0,79
81.0,81
75.0,75
77.0,77
67.0,67
76.0,76
75.0,75
63.0,63
16.0,16
77.0,77
64.0,64
70.0,70
74.0,74
64.0,64
65.0,65
55.0,55
80.0,80
73.0,73
80.0,80
76.0,76
24.0,24
77.0,77
24.0,24
84.0,84
83.0,83
13.0,13
81.0,81
85.0,85
84.0,84
68.0,68
46.0,46
32.0,32
55.0,55
17.0,17
75.0,75
34.0,34
53.0,53
61.0,61
63.0,63
