rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
23.0,8672,23.0,92,0,4,0.9389600000000002,,,
24.5,654,24.5,196,0,8,0.9264799999999997,0.0019599769730120897,95,0.001
28.333333333333332,478,28.333333333333332,340,0,12,0.9091999999999998,0.0001343961339443922,239,0.001
27.0625,430,27.0625,433,1,16,0.89804,0.00017040327657014132,332,0.001
27.25,414,27.25,545,1,20,0.8845999999999998,0.008585747331380844,444,0.001
25.208333333333332,405,25.208333333333332,605,1,24,0.8774,0.0035401119384914637,504,0.001
24.142857142857142,400,24.142857142857142,676,1,28,0.8688800000000001,0.006296855863183737,575,0.001
23.34375,393,23.34375,747,1,32,0.8603600000000002,0.011735748499631882,646,0.001
23.02777777777778,386,23.02777777777778,829,2,36,0.8505199999999997,0.010131904855370522,728,0.001
22.85,380,22.85,914,2,40,0.8403200000000002,0.008209461346268654,813,0.001
22.113636363636363,376,22.113636363636363,973,2,44,0.8332399999999998,0.010754839517176151,872,0.001
21.270833333333332,374,21.270833333333332,1021,2,48,0.82748,0.07855621725320816,920,0.001
20.942307692307693,368,20.942307692307693,1089,2,52,0.8193199999999998,0.02260722406208515,988,0.001
21.482142857142858,353,21.482142857142858,1203,3,56,0.8056400000000001,0.041836656630039215,1102,0.001
21.4,346,21.4,1284,3,60,0.7959199999999997,0.026528609916567802,1183,0.001
21.3125,338,21.3125,1364,4,64,0.7863200000000001,0.013150178827345371,1263,0.001
21.529411764705884,336,21.529411764705884,1464,4,68,0.7743200000000001,0.015328900888562202,1363,0.001
22.02777777777778,336,22.02777777777778,1586,4,72,0.7596800000000001,0.03913050517439842,1485,0.001
22.276315789473685,333,22.276315789473685,1693,5,76,0.74684,0.02433145046234131,1592,0.001
22.2125,333,22.2125,1777,5,80,0.7367599999999999,0.04804058372974396,1676,0.001
22.047619047619047,333,22.047619047619047,1852,5,84,0.7277600000000002,0.011276597157120705,1751,0.001
22.488636363636363,333,22.488636363636363,1979,5,88,0.7125200000000003,0.04973252862691879,1878,0.001
23.83695652173913,328,23.83695652173913,2193,6,92,0.6868399999999999,0.023867841809988022,2092,0.001
23.895833333333332,326,23.895833333333332,2294,7,96,0.6747199999999998,0.02152026630938053,2193,0.001
23.67,324,23.67,2367,7,100,0.6659599999999997,0.024033688008785248,2266,0.001
24.55,325,24.55,2547,7,104,0.64436,0.02858300320804119,2446,0.001
25.37,326,25.37,2733,8,108,0.6220399999999997,0.006841312628239393,2632,0.001
25.84,322,25.84,2924,9,112,0.5991200000000001,0.027412081137299538,2823,0.001
26.13,317,26.13,3046,9,116,0.5844800000000001,0.023086920380592346,2945,0.001
27.29,317,27.29,3274,10,120,0.5571200000000001,0.07253263890743256,3173,0.001
29.26,317,29.26,3531,11,124,0.5262799999999999,0.0472535640001297,3430,0.001
30.5,317,30.5,3726,11,128,0.5028799999999998,0.07898140698671341,3625,0.001
32.24,318,32.24,3971,12,132,0.47347999999999973,0.005906976759433746,3870,0.001
34.31,317,34.31,4260,13,136,0.4388000000000003,0.1215173751115799,4159,0.001
37.7,318,37.7,4684,14,140,0.38792000000000004,0.1649554967880249,4583,0.001
42.39,317,42.39,5212,16,144,0.32455999999999996,0.07663250714540482,5111,0.001
47.72,317,47.72,5793,18,148,0.2548400000000003,0.1418333798646927,5692,0.001
51.07,318,51.07,6196,19,152,0.20647999999999977,0.017785916104912758,6095,0.001
58.87,316,58.87,7090,22,156,0.09919999999999984,0.20049193501472473,6989,0.001
65.22,316,65.22,7806,24,160,0.05,0.3047925531864166,7705,0.001
68.71,317,68.71,8235,25,164,0.05,0.10928626358509064,8134,0.001
71.85,313,71.85,8649,27,168,0.05,0.24124452471733093,8548,0.001
74.79,313,74.79,9065,28,172,0.05,0.20675185322761536,8964,0.001
76.88,311,76.88,9381,30,176,0.05,0.38840222358703613,9280,0.001
80.11,308,80.11,9788,31,180,0.05,0.07693222910165787,9687,0.001
83.2,302,83.2,10172,33,184,0.05,0.15541325509548187,10071,0.001
85.91,299,85.91,10570,35,188,0.05,0.017408763989806175,10469,0.001
87.98,298,87.98,10991,36,192,0.05,0.23693783581256866,10890,0.001
96.26,295,96.26,11920,40,196,0.05,0.006528174504637718,11819,0.001
105.94,297,105.94,12961,43,200,0.05,0.05157143622636795,12860,0.001
111.24,297,111.24,13671,45,204,0.05,0.010730733163654804,13570,0.001
116.31,296,116.31,14364,48,208,0.05,0.004442260600626469,14263,0.001
120.03,294,120.03,14927,50,212,0.05,0.007061919663101435,14826,0.001
126.2,296,126.2,15666,52,216,0.05,0.005658569745719433,15565,0.001
130.37,297,130.37,16311,54,220,0.05,0.3043850064277649,16210,0.001
133.42,297,133.42,16873,56,224,0.05,0.213364839553833,16772,0.001
137.36,297,137.36,17462,58,228,0.05,0.21126145124435425,17361,0.001
139.81,298,139.81,17952,60,232,0.05,0.0047782002948224545,17851,0.001
142.49,297,142.49,18509,62,236,0.05,0.21206049621105194,18408,0.001
146.82,297,146.82,19366,65,240,0.05,0.017156068235635757,19265,0.001
150.85,297,150.85,20297,68,244,0.05,0.003662936855107546,20196,0.001
155.87,298,155.87,21380,71,248,0.05,0.004025488160550594,21279,0.001
156.48,298,156.48,21844,73,252,0.05,0.0016745757311582565,21743,0.001
153.36,298,153.36,22426,75,256,0.05,0.012482809834182262,22325,0.001
155.31,298,155.31,23337,78,260,0.05,0.008132186718285084,23236,0.001
157.16,298,157.16,23951,80,264,0.05,0.014480799436569214,23850,0.001
157.7,298,157.7,24419,81,268,0.05,0.12283508479595184,24318,0.001
161.34,299,161.34,25199,84,272,0.05,0.08085495978593826,25098,0.001
161.72,298,161.72,25553,85,276,0.05,0.008825866505503654,25452,0.001
163.06,296,163.06,26094,87,280,0.05,0.01746213063597679,25993,0.001
167.97,292,167.97,26969,92,284,0.05,0.013296524062752724,26868,0.001
171.62,292,171.62,27732,94,288,0.05,0.01135232299566269,27631,0.001
172.4,292,172.4,28231,96,292,0.05,0.01051366701722145,28130,0.001
167.75,291,167.75,28695,98,296,0.05,0.011216974817216396,28594,0.001
162.04,291,162.04,29165,100,300,0.05,0.053373899310827255,29064,0.001
159.87,291,159.87,29658,101,304,0.05,0.011131739243865013,29557,0.001
158.81,291,158.81,30245,103,308,0.05,0.0034218267537653446,30144,0.001
157.47,291,157.47,30674,105,312,0.05,0.01034163311123848,30573,0.001
154.27,291,154.27,31093,106,316,0.05,0.0050078509375452995,30992,0.001
152.07,292,152.07,31518,107,320,0.05,0.004946556873619556,31417,0.001
151.05,292,151.05,31978,109,324,0.05,0.022924792021512985,31877,0.001
149.71,291,149.71,32433,111,328,0.05,0.01819732040166855,32332,0.001
149.25,291,149.25,32877,112,332,0.05,0.0030517138075083494,32776,0.001
