time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean
49,0.9029799999999997,0,215,4,,
85,0.8316999999999999,0,244,8,310.0,4.0
117,0.7683400000000002,0,259,12,288.0,3.0
137,0.7287400000000002,0,256,16,249.0,2.0
166,0.6713199999999999,0,264,20,240.25,1.75
200,0.6039999999999996,0,275,24,240.25,1.75
238,0.5287600000000002,0,281,28,234.2,1.8
256,0.4931199999999998,0,279,32,233.83333333333334,1.8333333333333333
287,0.4317399999999999,1,280,36,230.42857142857142,1.7142857142857142
316,0.37431999999999976,1,282,40,228.625,1.625
334,0.3386800000000003,1,282,44,228.625,1.625
354,0.29908000000000035,1,280,48,220.11111111111111,1.4444444444444444
381,0.24561999999999962,1,280,52,218.3,1.4
419,0.1703800000000002,1,283,56,220.1818181818182,1.4545454545454546
456,0.09712000000000054,1,285,60,222.16666666666666,1.5
476,0.05752000000000046,1,286,64,222.16666666666666,1.5
536,0.01,1,293,68,217.46153846153845,1.3846153846153846
556,0.01,1,291,72,225.07142857142858,1.5714285714285714
587,0.01,2,291,76,224.66666666666666,1.5333333333333334
625,0.01,2,294,80,226.0,1.5625
663,0.01,2,297,84,226.0,1.5625
683,0.01,2,296,88,226.0,1.588235294117647
721,0.01,2,298,92,222.83333333333334,1.5
785,0.01,2,303,96,232.47368421052633,1.736842105263158
823,0.01,2,304,100,232.7,1.75
875,0.01,2,308,104,232.7,1.75
893,0.01,2,306,108,235.66666666666666,1.8571428571428572
940,0.01,3,307,112,234.77272727272728,1.8181818181818181
958,0.01,3,305,116,234.69565217391303,1.826086956521739
992,0.01,3,306,120,234.625,1.8333333333333333
1012,0.01,3,305,124,234.625,1.8333333333333333
1043,0.01,3,305,128,231.44,1.76
1073,0.01,3,305,132,232.30769230769232,1.7692307692307692
1104,0.01,3,305,136,231.25925925925927,1.7407407407407407
1154,0.01,3,308,140,232.82142857142858,1.7857142857142858
1192,0.01,3,309,144,232.82142857142858,1.7857142857142858
1234,0.01,4,307,148,232.31034482758622,1.793103448275862
1264,0.01,4,307,152,234.83333333333334,1.8333333333333333
1284,0.01,4,306,156,232.32258064516128,1.7741935483870968
1333,0.01,4,308,160,233.78125,1.8125
1369,0.01,4,309,164,233.78125,1.8125
1394,0.01,4,308,168,233.42424242424244,1.8181818181818181
1414,0.01,4,307,172,232.47058823529412,1.7941176470588236
1434,0.01,4,306,176,231.0,1.7428571428571429
1452,0.01,4,305,180,229.02777777777777,1.6944444444444444
1470,0.01,4,304,184,229.02777777777777,1.6944444444444444
1506,0.01,4,304,188,226.94594594594594,1.6486486486486487
1541,0.01,5,304,192,227.8684210526316,1.6842105263157894
1569,0.01,5,304,196,228.46153846153845,1.6923076923076923
1600,0.01,5,304,200,227.95,1.675
1650,0.01,5,306,204,227.95,1.675
1668,0.01,5,305,208,229.29268292682926,1.7073170731707317
1730,0.01,5,307,212,229.85714285714286,1.7142857142857142
1779,0.01,5,308,216,231.04651162790697,1.744186046511628
1795,0.01,5,306,220,231.11363636363637,1.75
1815,0.01,5,306,224,231.11363636363637,1.75
1861,0.01,6,307,228,229.95555555555555,1.711111111111111
1879,0.01,6,306,232,230.7608695652174,1.7391304347826086
1942,0.01,6,308,236,232.93617021276594,1.7872340425531914
1969,0.01,6,308,240,232.08333333333334,1.7708333333333333
2011,0.01,6,309,244,232.08333333333334,1.7708333333333333
2029,0.01,6,308,248,232.28571428571428,1.7755102040816326
2049,0.01,6,307,252,230.72,1.74
2078,0.01,6,307,256,230.4313725490196,1.7254901960784315
2142,0.01,6,309,260,232.8846153846154,1.7884615384615385
2187,0.01,7,310,264,232.8846153846154,1.7884615384615385
2216,0.01,7,310,268,233.45283018867926,1.8113207547169812
2245,0.01,7,310,272,233.46296296296296,1.8148148148148149
2274,0.01,7,310,276,232.6909090909091,1.8
2310,0.01,7,310,280,232.60714285714286,1.8035714285714286
2341,0.01,7,310,284,232.60714285714286,1.8035714285714286
2401,0.01,7,311,288,232.98245614035088,1.8070175438596492
2437,0.01,7,312,292,235.0344827586207,1.8620689655172413
2457,0.01,7,311,296,233.67796610169492,1.8305084745762712
2493,0.01,8,311,300,233.86666666666667,1.8333333333333333
2573,0.01,8,313,304,233.86666666666667,1.8333333333333333
2622,0.01,8,314,308,236.75409836065575,1.9344262295081966
2651,0.01,8,313,312,237.3709677419355,1.9516129032258065
2688,0.01,8,313,316,238.14285714285714,1.9682539682539681
2717,0.01,8,313,320,237.484375,1.953125
2737,0.01,8,313,324,237.484375,1.953125
2775,0.01,8,313,328,236.26153846153846,1.9230769230769231
2816,0.01,8,313,332,237.21212121212122,1.9393939393939394
2836,0.01,9,313,336,236.6417910447761,1.9253731343283582
2852,0.01,9,312,340,235.5735294117647,1.8970588235294117
2881,0.01,9,312,344,235.5735294117647,1.8970588235294117
2901,0.01,9,312,348,235.18840579710144,1.8840579710144927
2937,0.01,9,312,352,234.2,1.8571428571428572
2969,0.01,9,311,356,235.05633802816902,1.8732394366197183
