time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
49,0.9029799999999997,0,189,4,,,,,
85,0.8316999999999999,0,226,8,310.0,4.0,,,
117,0.7683400000000002,0,242,12,288.0,3.0,,,
137,0.7287400000000002,0,226,16,249.0,2.0,,,
166,0.6713199999999999,0,238,20,240.25,1.75,,,
200,0.6039999999999996,0,252,24,240.25,1.75,,,
238,0.5287600000000002,0,256,28,234.2,1.8,,,
256,0.4931199999999998,1,255,32,233.83333333333334,1.8333333333333333,,,
287,0.4317399999999999,1,258,36,230.42857142857142,1.7142857142857142,,,
316,0.37431999999999976,1,261,40,228.625,1.625,,,
334,0.3386800000000003,1,261,44,228.625,1.625,,,
354,0.29908000000000035,1,260,48,220.11111111111111,1.4444444444444444,,,
381,0.24561999999999962,1,261,52,218.3,1.4,,,
419,0.1703800000000002,1,264,56,220.1818181818182,1.4545454545454546,,,
456,0.09712000000000054,1,269,60,222.16666666666666,1.5,,,
476,0.05752000000000046,1,269,64,222.16666666666666,1.5,,,
536,0.01,1,278,68,217.46153846153845,1.3846153846153846,,,
556,0.01,2,276,72,225.07142857142858,1.5714285714285714,,,
587,0.01,2,277,76,224.66666666666666,1.5333333333333334,,,
625,0.01,2,280,80,226.0,1.5625,,,
663,0.01,2,283,84,226.0,1.5625,,,
683,0.01,2,282,88,226.0,1.588235294117647,,,
721,0.01,2,285,92,222.83333333333334,1.5,,,
785,0.01,2,290,96,232.47368421052633,1.736842105263158,,,
823,0.01,2,292,100,232.7,1.75,,,
875,0.01,2,296,104,232.7,1.75,,,
893,0.01,3,294,108,235.66666666666666,1.8571428571428572,,,
940,0.01,3,296,112,234.77272727272728,1.8181818181818181,,,
958,0.01,3,295,116,234.69565217391303,1.826086956521739,,,
992,0.01,3,296,120,234.625,1.8333333333333333,,,
1012,0.01,3,291,124,234.625,1.8333333333333333,1e-05,2,0.027584806084632874
1050,0.01,3,280,128,231.44,1.76,1e-05,12,0.08497250825166702
1070,0.01,3,274,132,231.84615384615384,1.7692307692307692,1e-05,17,0.018607255071401596
1090,0.01,4,269,136,229.11111111111111,1.7037037037037037,1e-05,22,0.015799755230545998
1128,0.01,4,262,140,229.0,1.7142857142857142,1e-05,31,0.01585298217833042
1174,0.01,4,254,144,229.0,1.7142857142857142,1e-05,43,0.017730481922626495
1212,0.01,4,249,148,230.0,1.7586206896551724,1e-05,52,0.016284914687275887
1232,0.01,5,245,152,230.43333333333334,1.7666666666666666,1e-05,57,0.061561621725559235
1282,0.01,5,239,156,231.93548387096774,1.8064516129032258,1e-05,70,0.030697710812091827
1320,0.01,5,235,160,232.03125,1.8125,1e-05,79,0.016990073025226593
1340,0.01,5,232,164,232.03125,1.8125,1e-05,84,0.03075956180691719
1360,0.01,5,229,168,229.78787878787878,1.7575757575757576,1e-05,89,0.01824650540947914
1380,0.01,6,226,172,228.35294117647058,1.7058823529411764,1e-05,94,0.01633494719862938
1400,0.01,6,224,176,227.0,1.6571428571428573,1e-05,99,0.016769593581557274
1450,0.01,6,220,180,228.69444444444446,1.6944444444444444,1e-05,112,0.031002052128314972
1484,0.01,6,217,184,228.69444444444446,1.6944444444444444,1e-05,120,0.04436339810490608
1534,0.01,7,213,188,228.35135135135135,1.7027027027027026,1e-05,133,0.0050770677626132965
1566,0.01,7,211,192,231.3421052631579,1.763157894736842,1e-05,141,0.002475879853591323
1604,0.01,7,208,196,231.92307692307693,1.7692307692307692,1e-05,150,0.01497175358235836
1624,0.01,7,207,200,230.225,1.725,1e-05,155,0.016040822491049767
1644,0.01,7,206,204,230.225,1.725,1e-05,160,0.02971428819000721
1664,0.01,8,204,208,228.5609756097561,1.6829268292682926,1e-05,165,0.0015514527913182974
1684,0.01,8,203,212,227.11904761904762,1.6428571428571428,1e-05,170,0.0016951232682913542
1722,0.01,8,201,216,227.32558139534885,1.6511627906976745,1e-05,180,0.001559240510687232
1742,0.01,8,199,220,226.20454545454547,1.6136363636363635,1e-05,185,0.03025132603943348
1762,0.01,8,198,224,226.20454545454547,1.6136363636363635,1e-05,190,0.016684701666235924
1800,0.01,9,197,228,226.82222222222222,1.6222222222222222,1e-05,199,0.017959486693143845
1827,0.01,9,195,232,226.2173913043478,1.608695652173913,1e-05,206,0.014389141462743282
1866,0.01,9,194,236,226.40425531914894,1.6170212765957446,1e-05,216,0.0162646621465683
1904,0.01,9,193,240,226.60416666666666,1.625,1e-05,225,0.018846556544303894
1924,0.01,10,192,244,226.60416666666666,1.625,1e-05,230,0.014827370643615723
1974,0.01,10,190,248,225.28571428571428,1.5918367346938775,1e-05,243,0.029163610190153122
2006,0.01,10,189,252,227.22,1.64,1e-05,251,0.03221997618675232
2056,0.01,10,188,256,228.6078431372549,1.6666666666666667,1e-05,263,0.03532068431377411
2076,0.01,11,187,260,227.71153846153845,1.6346153846153846,1e-05,268,0.019356274977326393
2096,0.01,11,187,264,227.71153846153845,1.6346153846153846,1e-05,273,0.0026425039395689964
2116,0.01,11,186,268,226.64150943396226,1.6037735849056605,1e-05,278,0.021818336099386215
2172,0.01,11,185,272,226.6851851851852,1.6111111111111112,1e-05,292,0.034620251506567
2192,0.01,11,183,276,226.6909090909091,1.6181818181818182,1e-05,297,0.01927299238741398
2249,0.01,12,182,280,228.21428571428572,1.6607142857142858,1e-05,312,0.047903843224048615
2269,0.01,12,182,284,228.21428571428572,1.6607142857142858,1e-05,317,0.0321197547018528
2289,0.01,12,181,288,227.17543859649123,1.631578947368421,1e-05,322,0.0011578407138586044
2327,0.01,12,180,292,226.10344827586206,1.603448275862069,1e-05,331,0.01664116233587265
2359,0.01,13,179,296,226.9322033898305,1.6271186440677967,1e-05,339,0.0492381826043129
2397,0.01,13,179,300,227.36666666666667,1.6333333333333333,1e-05,349,0.003396493149921298
2417,0.01,13,178,304,227.36666666666667,1.6333333333333333,1e-05,354,0.002192474901676178
2437,0.01,13,178,308,226.4262295081967,1.6065573770491803,1e-05,359,0.03431912139058113
2475,0.01,13,177,312,225.46774193548387,1.5806451612903225,1e-05,368,0.0188137236982584
2495,0.01,14,177,316,225.77777777777777,1.5873015873015872,1e-05,373,0.016778940334916115
2533,0.01,14,176,320,225.875,1.59375,1e-05,383,0.0031268042512238026
2553,0.01,14,176,324,225.875,1.59375,1e-05,388,0.03465604782104492
2573,0.01,14,175,328,224.83076923076922,1.5692307692307692,1e-05,393,0.005384102463722229
2623,0.01,14,175,332,225.3030303030303,1.5757575757575757,1e-05,405,0.001629974227398634
2643,0.01,15,174,336,225.02985074626866,1.5671641791044777,1e-05,410,0.019501257687807083
2681,0.01,15,173,340,225.4264705882353,1.5735294117647058,1e-05,420,0.03385276347398758
2719,0.01,15,173,344,225.4264705882353,1.5735294117647058,1e-05,429,0.015594040043652058
2739,0.01,15,173,348,225.71014492753622,1.5797101449275361,1e-05,434,0.06137620285153389
2759,0.01,15,172,352,224.85714285714286,1.5571428571428572,1e-05,439,0.032314714044332504
2797,0.01,16,172,356,225.32394366197184,1.5633802816901408,1e-05,449,0.0035775969736278057
2843,0.01,16,171,360,226.13888888888889,1.5833333333333333,1e-05,460,0.017205264419317245
2863,0.01,16,171,364,226.13888888888889,1.5833333333333333,1e-05,465,0.003186008660122752
2901,0.01,16,170,368,225.34246575342465,1.5616438356164384,1e-05,475,0.016289178282022476
2928,0.01,17,170,372,226.09459459459458,1.5810810810810811,1e-05,481,0.002856121165677905
2966,0.01,17,169,376,226.42666666666668,1.5866666666666667,1e-05,491,0.03061184659600258
3038,0.01,17,169,380,228.4078947368421,1.631578947368421,1e-05,509,0.017240921035408974
3086,0.01,18,169,384,228.4078947368421,1.631578947368421,1e-05,521,0.004242557566612959
3115,0.01,18,168,388,229.0,1.6493506493506493,1e-05,528,0.0033573622349649668
3161,0.01,18,168,392,229.25641025641025,1.6538461538461537,1e-05,540,0.017877299338579178
3181,0.01,18,168,396,229.2405063291139,1.6582278481012658,1e-05,545,0.005148072727024555
3238,0.01,19,167,400,230.25,1.6875,1e-05,559,0.003811337985098362
3305,0.01,19,167,404,230.25,1.6875,1e-05,576,0.0060189710929989815
3353,0.01,20,167,408,231.8641975308642,1.728395061728395,1e-05,588,0.01727575995028019
3401,0.01,20,166,412,233.1951219512195,1.7560975609756098,1e-05,600,0.03389061614871025
3429,0.01,20,166,416,233.6867469879518,1.7710843373493976,1e-05,607,0.03210309147834778
3461,0.01,20,166,420,233.45238095238096,1.7738095238095237,1e-05,615,0.005996814463287592
3501,0.01,21,166,424,233.45238095238096,1.7738095238095237,1e-05,625,0.0025139772333204746
