time/total_timesteps,rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
49,0.9029799999999997,0,198,4,,,,,
85,0.8316999999999999,0,225,8,310.0,4.0,,,
117,0.7683400000000002,0,239,12,288.0,3.0,,,
137,0.7287400000000002,0,236,16,249.0,2.0,,,
166,0.6713199999999999,0,244,20,240.25,1.75,,,
200,0.6039999999999996,0,252,24,240.25,1.75,,,
238,0.5287600000000002,1,151,28,234.2,1.8,0.0002,9,0.014752724207937717
294,0.41788000000000036,2,118,32,235.16666666666666,1.8333333333333333,0.0002,23,0.014926547184586525
326,0.3545199999999997,3,107,36,252.42857142857142,2.142857142857143,0.0002,31,0.014992183074355125
382,0.24363999999999986,4,95,40,261.625,2.375,0.0002,45,0.05008024722337723
407,0.19413999999999976,4,91,44,261.625,2.375,0.0002,51,0.02172183245420456
425,0.15850000000000042,4,88,48,252.0,2.2222222222222223,0.0002,56,0.03502913564443588
470,0.06940000000000024,5,84,52,247.8,2.1,0.0002,67,0.029018938541412354
498,0.01395999999999975,6,81,56,249.1818181818182,2.1818181818181817,0.0002,74,0.04013082757592201
529,0.01,6,78,60,246.66666666666666,2.1666666666666665,0.0002,82,0.022154858335852623
547,0.01,7,77,64,246.66666666666666,2.1666666666666665,0.0002,86,0.028947900980710983
567,0.01,7,76,68,239.46153846153845,2.0,0.0002,91,0.007936748676002026
587,0.01,7,75,72,234.07142857142858,1.8571428571428572,0.0002,96,0.014755173586308956
639,0.01,8,72,76,234.06666666666666,1.8666666666666667,0.0002,109,0.00833530630916357
659,0.01,9,71,80,234.8125,1.875,0.0002,114,0.00775950076058507
697,0.01,9,70,84,234.8125,1.875,0.0002,124,0.021472280845046043
717,0.01,10,69,88,234.2941176470588,1.8823529411764706,0.0002,129,0.03382311761379242
755,0.01,10,68,92,234.66666666666666,1.8888888888888888,0.0002,138,0.01573816128075123
791,0.01,11,67,96,234.05263157894737,1.894736842105263,0.0002,147,0.014799358323216438
835,0.01,12,66,100,235.4,1.95,0.0002,158,0.008187303319573402
867,0.01,13,66,104,235.4,1.95,0.0002,166,0.03448552265763283
893,0.01,13,65,108,234.23809523809524,1.9523809523809523,0.0002,173,0.007884782738983631
925,0.01,14,64,112,235.13636363636363,1.9545454545454546,0.0002,181,0.028075704351067543
966,0.01,15,64,116,235.04347826086956,1.9565217391304348,0.0002,191,0.021072620525956154
987,0.01,15,64,120,233.83333333333334,1.9583333333333333,0.0002,196,0.02002771571278572
1021,0.01,16,63,124,233.83333333333334,1.9583333333333333,0.0002,205,0.046570152044296265
1055,0.01,16,63,128,232.72,1.96,0.0002,213,0.014616579748690128
1083,0.01,17,62,132,234.03846153846155,2.0,0.0002,220,0.020057978108525276
1121,0.01,17,62,136,234.0,2.0,0.0002,230,0.014398915693163872
1165,0.01,18,61,140,234.57142857142858,2.0357142857142856,0.0002,241,0.023917516693472862
1195,0.01,19,61,144,234.57142857142858,2.0357142857142856,0.0002,248,0.023806877434253693
1227,0.01,19,61,148,234.24137931034483,2.0689655172413794,0.0002,256,0.016462847590446472
1279,0.01,20,61,152,235.03333333333333,2.1,0.0002,269,0.01724321022629738
1309,0.01,21,61,156,235.8709677419355,2.129032258064516,0.0002,277,0.008028729818761349
1353,0.01,22,61,160,236.59375,2.15625,0.0002,288,0.027864640578627586
1389,0.01,22,61,164,236.59375,2.15625,0.0002,297,0.01518869586288929
1448,0.01,23,61,168,237.36363636363637,2.1818181818181817,0.0002,311,0.004866891540586948
1485,0.01,24,61,172,240.11764705882354,2.235294117647059,0.0002,321,0.0009310570894740522
1517,0.01,24,60,176,240.82857142857142,2.2285714285714286,0.0002,329,0.00901829358190298
1560,0.01,25,61,180,241.36111111111111,2.2222222222222223,0.0002,339,0.011644304729998112
1586,0.01,26,60,184,241.36111111111111,2.2222222222222223,0.0002,346,0.008898193947970867
1653,0.01,27,60,188,241.67567567567568,2.2432432432432434,0.0002,363,0.011778600513935089
1673,0.01,27,60,192,243.05263157894737,2.263157894736842,0.0002,368,0.013001745566725731
1707,0.01,28,60,196,243.0,2.2564102564102564,0.0002,376,0.009377516806125641
1743,0.01,28,60,200,242.625,2.25,0.0002,385,0.0058917696587741375
1781,0.01,29,60,204,242.625,2.25,0.0002,395,0.010025136172771454
1817,0.01,30,60,208,242.41463414634146,2.2439024390243905,0.0002,404,0.005488706286996603
1867,0.01,30,60,212,242.16666666666666,2.238095238095238,0.0002,416,0.01543487049639225
1895,0.01,31,60,216,243.8372093023256,2.2790697674418605,0.0002,423,0.01633756048977375
1925,0.01,31,60,220,243.27272727272728,2.25,0.0002,431,0.012136944569647312
1950,0.01,32,60,224,243.27272727272728,2.25,0.0002,437,0.00867857038974762
1966,0.01,32,60,228,242.11111111111111,2.2222222222222223,0.0002,441,0.01604543998837471
