time/fps,time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
123,0,4,49,0.9839933333333336,,,,,
156,0,8,85,0.9722333333333335,4.0,310.0,,,
174,0,12,117,0.9617799999999999,3.0,288.0,,,
179,0,16,137,0.9552466666666666,2.0,249.0,,,
190,0,20,166,0.9457733333333335,1.75,240.25,,,
203,0,24,200,0.9346666666666666,1.75,240.25,,,
213,1,28,238,0.9222533333333331,1.8,234.2,,,
214,1,32,256,0.9163733333333332,1.8333333333333333,233.83333333333334,,,
218,1,36,287,0.9062466666666669,1.7142857142857142,230.42857142857142,,,
221,1,40,316,0.8967733333333331,1.625,228.625,,,
223,1,44,334,0.890893333333333,1.625,228.625,,,
224,1,48,354,0.8843599999999997,1.4444444444444444,220.11111111111111,,,
228,1,52,381,0.8755399999999999,1.4,218.3,,,
234,1,56,419,0.8631266666666665,1.4545454545454546,220.1818181818182,,,
240,1,60,456,0.8510399999999997,1.5,222.16666666666666,,,
242,1,64,476,0.8445066666666664,1.5,222.16666666666666,,,
253,2,68,536,0.8249066666666663,1.3846153846153846,217.46153846153845,,,
253,2,72,556,0.818373333333333,1.5714285714285714,225.07142857142858,,,
256,2,76,587,0.8082466666666668,1.5333333333333334,224.66666666666666,,,
261,2,80,625,0.7958333333333334,1.5625,226.0,,,
265,2,84,663,0.7834199999999999,1.5625,226.0,,,
266,2,88,683,0.7768866666666666,1.588235294117647,226.0,,,
269,2,92,721,0.7644733333333331,1.5,222.83333333333334,,,
276,2,96,785,0.7435666666666666,1.736842105263158,232.47368421052633,,,
277,2,100,823,0.7311533333333332,1.75,232.7,,,
281,3,104,875,0.714166666666667,1.75,232.7,,,
280,3,108,893,0.7082866666666668,1.8571428571428572,235.66666666666666,,,
283,3,112,940,0.6929333333333331,1.8181818181818181,234.77272727272728,,,
282,3,116,958,0.687053333333333,1.826086956521739,234.69565217391303,,,
284,3,120,992,0.6759466666666668,1.8333333333333333,234.625,,,
284,3,124,1012,0.6694133333333334,1.8333333333333333,234.625,,,
284,3,128,1043,0.6592866666666665,1.76,231.44,,,
285,3,132,1073,0.6494866666666668,1.7692307692307692,232.30769230769232,,,
286,3,136,1104,0.6393599999999998,1.7407407407407407,231.25925925925927,,,
290,3,140,1154,0.6230266666666668,1.7857142857142858,232.82142857142858,,,
292,4,144,1192,0.6106133333333335,1.7857142857142858,232.82142857142858,,,
293,4,148,1234,0.5968933333333335,1.793103448275862,232.31034482758622,,,
294,4,152,1264,0.587093333333333,1.8333333333333333,234.83333333333334,,,
294,4,156,1284,0.5805599999999997,1.7741935483870968,232.32258064516128,,,
297,4,160,1333,0.5645533333333335,1.8125,233.78125,,,
298,4,164,1369,0.5527933333333332,1.8125,233.78125,,,
298,4,168,1394,0.5446266666666668,1.8181818181818181,233.42424242424244,,,
297,4,172,1414,0.5380933333333334,1.7941176470588236,232.47058823529412,,,
297,4,176,1434,0.53156,1.7428571428571429,231.0,,,
296,4,180,1452,0.5256799999999999,1.6944444444444444,229.02777777777777,,,
297,4,184,1470,0.5197999999999999,1.6944444444444444,229.02777777777777,,,
297,5,188,1506,0.5080399999999998,1.6486486486486487,226.94594594594594,,,
298,5,192,1541,0.496606666666667,1.6842105263157894,227.8684210526316,,,
298,5,196,1569,0.4874599999999999,1.6923076923076923,228.46153846153845,,,
298,5,200,1600,0.4773333333333336,1.675,227.95,,,
301,5,204,1650,0.46099999999999985,1.675,227.95,,,
300,5,208,1668,0.45511999999999975,1.7073170731707317,229.29268292682926,,,
303,5,212,1730,0.4348666666666665,1.7142857142857142,229.85714285714286,,,
304,5,216,1779,0.4188600000000001,1.744186046511628,231.04651162790697,,,
303,5,220,1795,0.4136333333333334,1.75,231.11363636363637,,,
304,5,224,1815,0.4071,1.75,231.11363636363637,,,
305,6,228,1861,0.3920733333333335,1.711111111111111,229.95555555555555,,,
305,6,232,1879,0.3861933333333335,1.7391304347826086,230.7608695652174,,,
307,6,236,1942,0.36561333333333357,1.7872340425531914,232.93617021276594,,,
307,6,240,1969,0.3567933333333331,1.7708333333333333,232.08333333333334,,,
301,6,244,2023,0.33915333333333353,1.7708333333333333,232.08333333333334,5,0.00015,0.015280663967132568
290,7,248,2057,0.3280466666666667,1.7959183673469388,233.30612244897958,14,0.00015,0.031935494393110275
285,7,252,2071,0.32347333333333317,1.8,232.74,17,0.00015,0.030631989240646362
273,7,256,2119,0.30779333333333336,1.8235294117647058,233.7058823529412,29,0.00015,0.0018146764487028122
263,8,260,2155,0.29603333333333326,1.8269230769230769,234.0,38,0.00015,0.015535138547420502
250,8,264,2193,0.28361999999999976,1.8269230769230769,234.0,48,0.00015,0.0021642097271978855
