rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/learning_rate,train/loss
23.0,23.0,6386,0,92,0.8687200000000008,4,,,
27.125,27.125,702,0,217,0.8262199999999998,8,116,0.0001,0.339598149061203
24.083333333333332,24.083333333333332,567,0,289,0.8017399999999999,12,188,0.0001,0.19116061925888062
22.0,22.0,509,0,352,0.7803199999999992,16,251,0.0001,0.08705852180719376
22.3,22.3,470,0,446,0.7483599999999994,20,345,0.0001,0.028966326266527176
20.916666666666668,20.916666666666668,445,1,502,0.7293199999999992,24,401,0.0001,0.528766393661499
20.392857142857142,20.392857142857142,425,1,571,0.7058600000000003,28,470,0.0001,0.12506282329559326
19.78125,19.78125,419,1,633,0.6847799999999999,32,532,0.0001,0.06580249220132828
19.333333333333332,19.333333333333332,415,1,696,0.6633599999999993,36,595,0.0001,0.050680968910455704
19.1,19.1,407,1,764,0.6402400000000007,40,663,0.0001,0.03385915234684944
18.727272727272727,18.727272727272727,403,2,824,0.6198399999999992,44,723,0.0001,0.03215385600924492
18.916666666666668,18.916666666666668,387,2,908,0.5912800000000009,48,807,0.0001,0.022999286651611328
18.692307692307693,18.692307692307693,377,2,972,0.5695199999999998,52,871,0.0001,0.03243643417954445
18.196428571428573,18.196428571428573,371,2,1019,0.5535400000000008,56,918,0.0001,0.24723149836063385
17.75,17.75,368,2,1065,0.5379000000000003,60,964,0.0001,0.1303735226392746
17.53125,17.53125,366,3,1122,0.5185199999999999,64,1021,0.0001,0.06251849979162216
17.38235294117647,17.38235294117647,366,3,1182,0.4981200000000002,68,1081,0.0001,0.06238580867648125
17.11111111111111,17.11111111111111,366,3,1232,0.48112000000000016,72,1131,0.0001,0.08607221394777298
16.710526315789473,16.710526315789473,363,3,1270,0.46820000000000045,76,1169,0.0001,0.037919603288173676
16.4625,16.4625,362,3,1317,0.45221999999999957,80,1216,0.0001,0.04695655032992363
16.273809523809526,16.273809523809526,360,3,1367,0.4352199999999995,84,1266,0.0001,0.055294230580329895
16.102272727272727,16.102272727272727,360,3,1417,0.4182199999999995,88,1316,0.0001,0.04231720790266991
15.923913043478262,15.923913043478262,361,4,1465,0.4019000000000002,92,1364,0.0001,0.10959034413099289
15.75,15.75,362,4,1512,0.3859199999999994,96,1411,0.0001,0.26476725935935974
15.67,15.67,360,4,1567,0.36721999999999955,100,1466,0.0001,0.12749196588993073
15.34,15.34,360,4,1626,0.34716000000000025,104,1525,0.0001,0.08127672970294952
14.86,14.86,361,4,1703,0.3209800000000005,108,1602,0.0001,0.0719827190041542
14.88,14.88,361,4,1777,0.29581999999999975,112,1676,0.0001,0.0768871009349823
15.18,15.18,361,5,1870,0.2642000000000002,116,1769,0.0001,0.09700203686952591
15.01,15.01,360,5,1947,0.23802000000000056,120,1846,0.0001,0.04822511225938797
15.1,15.1,360,5,2012,0.2159199999999991,124,1911,0.0001,0.2606467008590698
15.1,15.1,359,5,2081,0.1924600000000002,128,1980,0.0001,0.10759454220533371
16.09,16.09,358,6,2242,0.1377200000000003,132,2141,0.0001,0.07677724957466125
16.72,16.72,358,6,2368,0.09488000000000074,136,2267,0.0001,0.12615211308002472
17.52,17.52,358,7,2516,0.05,140,2415,0.0001,0.20950856804847717
18.03,18.03,357,7,2627,0.05,144,2526,0.0001,0.3080741763114929
18.23,18.23,356,7,2731,0.05,148,2630,0.0001,0.1734382063150406
18.43,18.43,354,7,2815,0.05,152,2714,0.0001,0.08863196521997452
18.95,18.95,350,8,2914,0.05,156,2813,0.0001,0.15743735432624817
19.19,19.19,347,8,2984,0.05,160,2883,0.0001,0.09879797697067261
19.18,19.18,347,8,3040,0.05,164,2939,0.0001,0.18053890764713287
18.97,18.97,346,8,3079,0.05,168,2978,0.0001,0.22951668500900269
18.82,18.82,346,8,3114,0.05,172,3013,0.0001,0.040934279561042786
18.82,18.82,345,9,3152,0.05,176,3051,0.0001,0.31192782521247864
18.76,18.76,345,9,3193,0.05,180,3092,0.0001,0.09249182790517807
18.62,18.62,345,9,3229,0.05,184,3128,0.0001,0.22030068933963776
18.49,18.49,345,9,3266,0.05,188,3165,0.0001,0.012167847715318203
18.35,18.35,345,9,3300,0.05,192,3199,0.0001,0.28443995118141174
18.24,18.24,345,9,3336,0.05,196,3235,0.0001,0.23012609779834747
18.06,18.06,345,9,3373,0.05,200,3272,0.0001,0.08644946664571762
17.85,17.85,345,9,3411,0.05,204,3310,0.0001,0.13386479020118713
17.47,17.47,344,10,3450,0.05,208,3349,0.0001,0.18162444233894348
17.1,17.1,344,10,3487,0.05,212,3386,0.0001,0.18726445734500885
16.54,16.54,344,10,3524,0.05,216,3423,0.0001,0.4350253939628601
16.21,16.21,344,10,3568,0.05,220,3467,0.0001,0.2745593786239624
15.94,15.94,343,10,3606,0.05,224,3505,0.0001,0.2124476581811905
15.63,15.63,343,10,3644,0.05,228,3543,0.0001,0.22731760144233704
14.42,14.42,342,10,3684,0.05,232,3583,0.0001,0.2579517364501953
13.56,13.56,342,10,3724,0.05,236,3623,0.0001,0.16823169589042664
12.5,12.5,342,10,3766,0.05,240,3665,0.0001,0.14911872148513794
11.75,11.75,342,11,3802,0.05,244,3701,0.0001,0.15310895442962646
11.11,11.11,341,11,3842,0.05,248,3741,0.0001,0.1303863376379013
10.65,10.65,341,11,3880,0.05,252,3779,0.0001,0.1625656932592392
10.04,10.04,341,11,3918,0.05,256,3817,0.0001,0.3374340236186981
9.73,9.73,341,11,3957,0.05,260,3856,0.0001,0.1510712057352066
9.55,9.55,341,11,3995,0.05,264,3894,0.0001,0.2431238889694214
9.55,9.55,340,11,4034,0.05,268,3933,0.0001,0.335395872592926
9.61,9.61,340,11,4075,0.05,272,3974,0.0001,0.2997422516345978
9.62,9.62,340,12,4114,0.05,276,4013,0.0001,0.5399012565612793
9.59,9.59,339,12,4152,0.05,280,4051,0.0001,0.3132507801055908
9.63,9.63,339,12,4192,0.05,284,4091,0.0001,0.17935805022716522
9.63,9.63,339,12,4229,0.05,288,4128,0.0001,0.3087426424026489
9.68,9.68,339,12,4268,0.05,292,4167,0.0001,0.3637794852256775
9.69,9.69,339,12,4305,0.05,296,4204,0.0001,0.17071311175823212
9.71,9.71,339,12,4344,0.05,300,4243,0.0001,0.14104048907756805
9.72,9.72,339,12,4383,0.05,304,4282,0.0001,0.24214184284210205
9.71,9.71,339,13,4421,0.05,308,4320,0.0001,0.45639511942863464
9.7,9.7,339,13,4457,0.05,312,4356,0.0001,0.20584383606910706
9.71,9.71,339,13,4495,0.05,316,4394,0.0001,0.28594785928726196
9.64,9.64,339,13,4532,0.05,320,4431,0.0001,0.2875594198703766
9.62,9.62,339,13,4568,0.05,324,4467,0.0001,0.2554323077201843
9.64,9.64,339,13,4608,0.05,328,4507,0.0001,0.4672863185405731
9.59,9.59,338,13,4643,0.05,332,4542,0.0001,0.34003791213035583
9.59,9.59,337,13,4683,0.05,336,4582,0.0001,0.33804163336753845
9.61,9.61,336,14,4727,0.05,340,4626,0.0001,0.29293501377105713
9.63,9.63,335,14,4765,0.05,344,4664,0.0001,0.20395125448703766
9.65,9.65,334,14,4807,0.05,348,4706,0.0001,0.22577261924743652
9.67,9.67,334,14,4847,0.05,352,4746,0.0001,0.13614991307258606
9.69,9.69,334,14,4887,0.05,356,4786,0.0001,0.20942604541778564
9.68,9.68,334,14,4925,0.05,360,4824,0.0001,0.25087976455688477
9.67,9.67,334,14,4962,0.05,364,4861,0.0001,0.3422177731990814
9.68,9.68,334,14,5002,0.05,368,4901,0.0001,0.34069254994392395
9.66,9.66,334,15,5041,0.05,372,4940,0.0001,0.18943919241428375
9.62,9.62,334,15,5076,0.05,376,4975,0.0001,0.21949997544288635
9.64,9.64,334,15,5116,0.05,380,5015,0.0001,0.20428138971328735
9.6,9.6,334,15,5152,0.05,384,5051,0.0001,0.1410970836877823
9.6,9.6,334,15,5189,0.05,388,5088,0.0001,0.13677488267421722
9.58,9.58,334,15,5226,0.05,392,5125,0.0001,0.15138238668441772
9.61,9.61,334,15,5266,0.05,396,5165,0.0001,0.4153609275817871
9.59,9.59,334,15,5303,0.05,400,5202,0.0001,0.2334200143814087
9.61,9.61,334,15,5344,0.05,404,5243,0.0001,0.26224619150161743
9.62,9.62,335,16,5383,0.05,408,5282,0.0001,0.273523211479187
9.63,9.63,335,16,5420,0.05,412,5319,0.0001,0.24033278226852417
9.64,9.64,335,16,5459,0.05,416,5358,0.0001,0.1711893081665039
9.66,9.66,334,16,5498,0.05,420,5397,0.0001,0.15330924093723297
9.69,9.69,335,16,5537,0.05,424,5436,0.0001,0.19023743271827698
9.67,9.67,334,16,5575,0.05,428,5474,0.0001,0.2360992282629013
9.7,9.7,334,16,5613,0.05,432,5512,0.0001,0.14816433191299438
9.72,9.72,334,16,5655,0.05,436,5554,0.0001,0.07508128136396408
9.67,9.67,334,17,5694,0.05,440,5593,0.0001,0.09261488914489746
9.74,9.74,335,17,5739,0.05,444,5638,0.0001,0.13613708317279816
9.69,9.69,334,17,5776,0.05,448,5675,0.0001,0.15107780694961548
9.66,9.66,334,17,5813,0.05,452,5712,0.0001,0.1655888557434082
9.7,9.7,334,17,5857,0.05,456,5756,0.0001,0.11409349739551544
9.74,9.74,334,17,5899,0.05,460,5798,0.0001,0.22440952062606812
9.75,9.75,334,17,5937,0.05,464,5836,0.0001,0.20930716395378113
9.74,9.74,334,17,5976,0.05,468,5875,0.0001,0.17456325888633728
9.91,9.91,334,18,6032,0.05,472,5931,0.0001,0.14445671439170837
10.41,10.41,335,18,6117,0.05,476,6016,0.0001,0.13388794660568237
10.87,10.87,335,18,6203,0.05,480,6102,0.0001,0.12803338468074799
11.31,11.31,335,18,6283,0.05,484,6182,0.0001,0.17938974499702454
12.15,12.15,335,19,6404,0.05,488,6303,0.0001,0.15717457234859467
15.82,15.82,333,20,6808,0.05,492,6707,0.0001,0.21948803961277008
18.85,18.85,331,21,7151,0.05,496,7050,0.0001,0.16060753166675568
21.19,21.19,332,22,7422,0.05,500,7321,0.0001,0.1567113846540451
23.83,23.83,333,23,7727,0.05,504,7626,0.0001,0.10279393941164017
26.6,26.6,334,24,8043,0.05,508,7942,0.0001,0.08836902678012848
29.23,29.23,334,24,8343,0.05,512,8242,0.0001,0.23305147886276245
31.87,31.87,332,25,8646,0.05,516,8545,0.0001,0.125748410820961
34.55,34.55,333,26,8953,0.05,520,8852,0.0001,0.1937379539012909
37.37,37.37,334,27,9274,0.05,524,9173,0.0001,0.1382880061864853
40.42,40.42,334,28,9617,0.05,528,9516,0.0001,0.09934034943580627
44.34,44.34,335,29,10047,0.05,532,9946,0.0001,0.10685863345861435
47.42,47.42,334,31,10397,0.05,536,10296,0.0001,0.18433351814746857
51.25,51.25,333,32,10819,0.05,540,10718,0.0001,0.15048657357692719
55.04,55.04,334,33,11243,0.05,544,11142,0.0001,0.022994859144091606
58.89,58.89,335,34,11665,0.05,548,11564,0.0001,0.005170304793864489
63.09,63.09,336,36,12122,0.05,552,12021,0.0001,0.03009546734392643
67.18,67.18,334,37,12575,0.05,556,12474,0.0001,0.023473450914025307
72.0,72.0,335,39,13099,0.05,560,12998,0.0001,0.11274091899394989
77.11,77.11,335,40,13648,0.05,564,13547,0.0001,0.011479940265417099
81.42,81.42,335,42,14118,0.05,568,14017,0.0001,0.25543296337127686
85.65,85.65,334,43,14597,0.05,572,14496,0.0001,0.2367638349533081
89.91,89.91,334,45,15108,0.05,576,15007,0.0001,0.003949903883039951
94.16,94.16,335,46,15619,0.05,580,15518,0.0001,0.005148461554199457
99.04,99.04,335,48,16187,0.05,584,16086,0.0001,0.1535639762878418
104.14,104.14,335,50,16818,0.05,588,16717,0.0001,0.0015734302578493953
105.11,105.11,335,51,17319,0.05,592,17218,0.0001,0.21920424699783325
107.47,107.47,336,53,17898,0.05,596,17797,0.0001,0.003048160346224904
110.71,110.71,335,55,18493,0.05,600,18392,0.0001,0.43660885095596313
113.31,113.31,335,56,19058,0.05,604,18957,0.0001,0.10626654326915741
118.06,118.06,336,58,19849,0.05,608,19748,0.0001,0.10703219473361969
123.62,123.62,336,61,20705,0.05,612,20604,0.0001,0.10620519518852234
129.06,129.06,336,64,21552,0.05,616,21451,0.0001,0.10389679670333862
135.56,135.56,336,66,22509,0.05,620,22408,0.0001,0.10961554199457169
140.35,140.35,336,69,23309,0.05,624,23208,0.0001,0.44348645210266113
146.09,146.09,335,72,24226,0.05,628,24125,0.0001,0.0011038676602765918
153.29,153.29,336,75,25376,0.05,632,25275,0.0001,0.0013143381802365184
160.61,160.61,336,78,26458,0.05,636,26357,0.0001,0.0018730212468653917
164.47,164.47,336,80,27266,0.05,640,27165,0.0001,0.0007550074369646609
169.59,169.59,336,83,28202,0.05,644,28101,0.0001,0.0012343183625489473
174.24,174.24,336,86,29089,0.05,648,28988,0.0001,0.2116534560918808
179.74,179.74,336,89,30096,0.05,652,29995,0.0001,0.3138313293457031
184.54,184.54,336,92,31029,0.05,656,30928,0.0001,0.001274315407499671
188.66,188.66,336,95,31965,0.05,660,31864,0.0001,0.1666935235261917
193.3,193.3,336,98,32978,0.05,664,32877,0.0001,0.0004028444236610085
200.26,200.26,335,101,34144,0.05,668,34043,0.0001,0.0009401086717844009
205.98,205.98,336,104,35195,0.05,672,35094,0.0001,0.15035785734653473
212.81,212.81,335,108,36389,0.05,676,36288,0.0001,0.0003697963256854564
217.07,217.07,335,111,37326,0.05,680,37225,0.0001,0.09632331877946854
220.29,220.29,335,113,38216,0.05,684,38115,0.0001,0.0007451222045347095
221.44,221.44,335,116,38962,0.05,688,38861,0.0001,0.0007863770006224513
226.33,226.33,335,119,39952,0.05,692,39851,0.0001,0.0008085813606157899
230.68,230.68,335,122,40966,0.05,696,40865,0.0001,0.0006455678376369178
235.76,235.76,335,125,42069,0.05,700,41968,0.0001,0.0013959930511191487
237.25,237.25,335,127,42783,0.05,704,42682,0.0001,0.07378985732793808
237.35,237.35,335,129,43584,0.05,708,43483,0.0001,0.07112864404916763
239.16,239.16,335,132,44621,0.05,712,44520,0.0001,0.001039206050336361
240.55,240.55,335,135,45607,0.05,716,45506,0.0001,0.1258314698934555
